part_id,date,quantity_demand,stockout_flag,demand_pattern
PRT-0001,2024-01-01,11.51,0,regular
PRT-0001,2024-01-02,10.57,0,regular
PRT-0001,2024-01-03,8.24,0,regular
PRT-0001,2024-01-04,7.27,0,regular
PRT-0001,2024-01-05,5.96,0,regular
PRT-0001,2024-01-06,7.31,0,regular
PRT-0001,2024-01-07,7.69,0,regular
PRT-0001,2024-01-08,5.11,0,regular
PRT-0001,2024-01-09,9.53,0,regular
PRT-0001,2024-01-10,10.55,0,regular
PRT-0001,2024-01-11,6.56,0,regular
PRT-0001,2024-01-12,8.8,0,regular
PRT-0001,2024-01-13,4.04,0,regular
PRT-0001,2024-01-14,5.21,0,regular
PRT-0001,2024-01-15,11.33,0,regular
PRT-0001,2024-01-16,5.69,0,regular
PRT-0001,2024-01-17,8.07,0,regular
PRT-0001,2024-01-18,11.34,0,regular
PRT-0001,2024-01-19,6.05,0,regular
PRT-0001,2024-01-20,6.13,0,regular
PRT-0001,2024-01-21,3.87,0,regular
PRT-0001,2024-01-22,11.44,0,regular
PRT-0001,2024-01-23,9.62,0,regular
PRT-0001,2024-01-24,7.41,0,regular
PRT-0001,2024-01-25,5.87,0,regular
PRT-0001,2024-01-26,9.48,0,regular
PRT-0001,2024-01-27,3.84,0,regular
PRT-0001,2024-01-28,4.35,0,regular
PRT-0001,2024-01-29,10.09,0,regular
PRT-0001,2024-01-30,10.81,0,regular
PRT-0001,2024-01-31,10.95,0,regular
PRT-0001,2024-02-01,5.95,0,regular
PRT-0001,2024-02-02,6.22,1,regular
PRT-0001,2024-02-03,3.82,0,regular
PRT-0001,2024-02-04,5.28,1,regular
PRT-0001,2024-02-05,10.0,0,regular
PRT-0001,2024-02-06,8.28,0,regular
PRT-0001,2024-02-07,5.76,0,regular
PRT-0001,2024-02-08,5.36,0,regular
PRT-0001,2024-02-09,8.51,0,regular
PRT-0001,2024-02-10,4.02,0,regular
PRT-0001,2024-02-11,7.12,0,regular
PRT-0001,2024-02-12,5.46,0,regular
PRT-0001,2024-02-13,5.43,0,regular
PRT-0001,2024-02-14,8.66,0,regular
PRT-0001,2024-02-15,8.58,0,regular
PRT-0001,2024-02-16,5.73,0,regular
PRT-0001,2024-02-17,7.01,0,regular
PRT-0001,2024-02-18,4.78,0,regular
PRT-0001,2024-02-19,7.29,0,regular
